Owner,"Organization (O from Issuer Field)","Organizational Unit (OU from Issuer Field)",Common Name or Certificate Name,SHA1 Fingerprint,"Valid From (GMT)","Valid To (GMT)",Modulus,Signature Algorithm,Trust Bits,"EV Policy OID","Approval Bug","Release When First Included",URL to Test Website,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Audit,Baseline Requirements Audit,EV Audit,Auditor,Audit Criteria,Audit Statement Date,Comments
TeliaSonera,Sonera,,Sonera Class2 CA,37:F7:6D:E6:07:7C:90:C5:B1:3E:93:1A:B7:41:10:B4:F2:E4:9A:27,4/6/2001,4/6/2021,2048,SHA-1,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=258416,"NSS 3.9.6, Firefox 1",https://Juolukka.cover.sonera.net:10443,http://www.teliasonera.com,http://repository.trust.teliasonera.com/CPS/,http://repository.trust.teliasonera.com/CPS/,https://cert.webtrust.org/SealFile?seal=1729&file=pdf,https://support.partnergate.sonera.com/download/CA/braudit2013.pdf,,Ernst & Young,WebTrust,2014.07.27,
"Government of The Netherlands, PKIoverheid",Staat der Nederlanden,,Staat der Nederlanden Root CA,10:1D:FA:3F:D5:0B:CB:BB:9B:B5:60:0C:19:55:A4:1A:F4:73:3A:04,12/17/2002,12/16/2015,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=243424,"NSS 3.9.6, Firefox 1",https://www.elkk.amsterdam.nl/,https://www.logius.nl/languages/english/pkioverheid/,https://www.logius.nl/languages/english/pkioverheid/,https://www.logius.nl/languages/english/pkioverheid/,http://cert.webtrust.org/SealFile?seal=1652&file=pdf,http://cert.webtrust.org/SealFile?seal=1652&file=pdf,,KPMG,WebTrust,2014.03.24,
"Government of The Netherlands, PKIoverheid",Staat der Nederlanden,,Staat der Nederlanden Root CA - G2,59:AF:82:79:91:86:C7:B4:75:07:CB:CF:03:57:46:EB:04:DD:B7:16,3/26/2008,3/25/2020,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=436056,"NSS 3.12.6, Firefox 3.6.2",https://www.digid.nl/,https://www.logius.nl/languages/english/pkioverheid/,https://www.logius.nl/languages/english/pkioverheid/,https://www.logius.nl/languages/english/pkioverheid/,http://cert.webtrust.org/SealFile?seal=1652&file=pdf,http://cert.webtrust.org/SealFile?seal=1652&file=pdf,,KPMG,WebTrust,2014.03.24,"SubCA audit updates are noted here: https://bugzilla.mozilla.org/show_bug.cgi?id=551399 Exception to BR granted 1/27/2012: Off-line Domain subCAs will not have OCSP. Though, all of the issuing subCAs will have OCSP."
GoDaddy,"Starfield Technologies, Inc.",,Starfield Services Root Certificate Authority - G2,92:5A:8F:8D:2C:6D:04:E0:66:5F:59:6A:FF:22:D8:63:E8:25:6F:3F,9/1/2009,12/31/2037,2048,SHA-256,"Websites Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=527056,"NSS 3.12.10, Firefox 6.0",https://valid.sfsg2.catest.starfieldtech.com/,http://www.godaddy.com/,https://certs.godaddy.com/anonymous/repository.pki,https://certs.godaddy.com/anonymous/repository.pki,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,,KPMG,WebTrust,2014.08.14,
GoDaddy,"Starfield Technologies, Inc.",,Starfield Root Certificate Authority - G2,B5:1C:06:7C:EE:2B:0C:3D:F8:55:AB:2D:92:F4:FE:39:D4:E7:0F:0E,9/1/2009,12/31/2037,2048,SHA-256,"Websites Code",2.16.840.1.114414.1.7.23.3,https://bugzilla.mozilla.org/show_bug.cgi?id=527056,"NSS 3.12.10, Firefox 6.0",https://valid.sfig2.catest.starfieldtech.com/,http://www.godaddy.com/,https://certs.godaddy.com/anonymous/repository.pki,https://certs.godaddy.com/anonymous/repository.pki,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,KPMG,WebTrust,2014.08.14,
GoDaddy,"Starfield Technologies, Inc.",Starfield Class 2 Certification Authority,Starfield Class 2 CA,AD:7E:1C:28:B0:64:EF:8F:60:03:40:20:14:C3:D0:E3:37:0E:B5:8A,6/29/2004,6/29/2034,2048,SHA-1,"Websites Email Code",2.16.840.1.114414.1.7.23.3,https://bugzilla.mozilla.org/show_bug.cgi?id=284677,"NSS 3.10, Firefox 1",https://valid.sfi.catest.starfieldtech.com/,http://www.godaddy.com/,https://certs.godaddy.com/anonymous/repository.pki,https://certs.godaddy.com/anonymous/repository.pki,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,KPMG,WebTrust,2014.08.14,
Start Commercial (StartCom) Ltd.,StartCom Ltd.,Secure Digital Certificate Signing,StartCom Certification Authority,3E:2B:F7:F2:03:1B:96:F3:8C:E6:C4:D8:A8:5D:3E:2D:58:47:6A:0F,9/17/2006,9/17/2036,4096,SHA-1,"Websites Email Code",1.3.6.1.4.1.23223.1.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=362304,"NSS 3.11.8, Firefox 2",,http://www.startssl.com/,https://www.startssl.com/?app=26,https://www.startssl.com/?app=26,https://www.startssl.com/ey-webtrust.pdf,https://www.startssl.com/ey-webtrust-br.pdf,https://www.startssl.com/ey-webtrust-ev.pdf,Ernst & Young,WebTrust,2014.03.31,
Start Commercial (StartCom) Ltd.,StartCom Ltd.,,StartCom Certification Authority G2,31:F1:FD:68:22:63:20:EE:C6:3B:3F:9D:EA:4A:3E:53:7C:7C:39:17,1/1/2010,12/31/2039,4096,SHA-256,"Websites Email Code",1.3.6.1.4.1.23223.1.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=640368,"NSS 3.13.6, Firefox 16",https://g2.startcom.org/,http://www.startssl.com/,https://www.startssl.com/?app=26,https://www.startssl.com/?app=26,https://www.startssl.com/ey-webtrust.pdf,https://www.startssl.com/ey-webtrust-br.pdf,https://www.startssl.com/ey-webtrust-ev.pdf,Ernst & Young,WebTrust,2014.03.31,
Start Commercial (StartCom) Ltd.,StartCom Ltd.,Secure Digital Certificate Signing,StartCom Certification Authority,A3:F1:33:3F:E2:42:BF:CF:C5:D1:4E:8F:39:42:98:40:68:10:D1:A0,9/17/2006,9/17/2036,4096,SHA-256,"Websites Email Code",1.3.6.1.4.1.23223.1.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=602750,"NSS 3.13.6, Firefox 16",https://www.startcom.org/,http://www.startssl.com/,https://www.startssl.com/?app=26,https://www.startssl.com/?app=26,https://www.startssl.com/ey-webtrust.pdf,https://www.startssl.com/ey-webtrust-br.pdf,https://www.startssl.com/ey-webtrust-ev.pdf,Ernst & Young,WebTrust,2014.03.31,
Swisscom (Switzerland) Ltd,Swisscom,Digital Certificate Services,Swisscom Root EV CA 2,E7:A1:90:29:D3:D5:52:DC:0D:0F:C6:92:D3:EA:88:0D:15:2E:1A:6B,6/24/2011,6/25/2031,4096,SHA-256,"Websites Code",2.16.756.1.83.21.0,https://bugzilla.mozilla.org/show_bug.cgi?id=759732,"NSS 3.15, Firefox 23",https://test-quarz-ev-ca-2.pre.swissdigicert.ch/,http://www.swissdigicert.ch/sdcs/portal/page?lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,KPMG,ETSI TS 102 042,2014.06.18,http://www.seco.admin.ch/sas/00229/05092/index.html?lang=en
Swisscom (Switzerland) Ltd,Swisscom,Digital Certificate Services,Swisscom Root CA 2,77:47:4F:C6:30:E4:0F:4C:47:64:3F:84:BA:B8:C6:95:4A:8A:41:EC,6/24/2011,6/25/2031,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=759732,"NSS 3.15, Firefox 23",https://test-emerald-ca-2.pre.swissdigicert.ch/,http://www.swissdigicert.ch/sdcs/portal/page?lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,,KPMG,ETSI TS 102 042,2014.06.18,http://www.seco.admin.ch/sas/00229/05092/index.html?lang=en
Swisscom (Switzerland) Ltd,Swisscom,Digital Certificate Services,Swisscom Root CA 1,5F:3A:FC:0A:8B:64:F6:86:67:34:74:DF:7E:A9:A2:FE:F9:FA:7A:51,8/18/2005,8/18/2025,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=342470,"NSS 3.11.4, Firefox 2",https://test-emerald-ca-1.pre.swissdigicert.ch/,http://www.swissdigicert.ch/sdcs/portal/page?lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,https://bug1015839.bugzilla.mozilla.org/attachment.cgi?id=8444375,,KPMG,ETSI TS 102 042,2014.06.18,http://www.seco.admin.ch/sas/00229/05092/index.html?lang=en
SwissSign AG,SwissSign AG,,SwissSign Silver CA - G2,9B:AA:E5:9F:56:EE:21:CB:43:5A:BE:25:93:DF:A7:F0:40:D1:1D:CB,10/25/2006,10/25/2036,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=343756,"NSS 3.11.9, Firefox 2",https://testsilverg2.swisssign.net,http://www.swisssign.com/,http://swisssign.com/repository,http://swisssign.com/repository,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,,KPMG,ETSI TS 102 042,2014.04.14,
SwissSign AG,SwissSign AG,,SwissSign Gold CA - G2,D8:C5:38:8A:B7:30:1B:1B:6E:D4:7A:E6:45:25:3A:6F:9F:1A:27:61,10/25/2006,10/25/2036,4096,SHA-1,"Websites Email Code",2.16.756.1.89.1.2.1.1,https://bugzilla.mozilla.org/show_bug.cgi?id=343756,"NSS 3.11.9, Firefox 2",https://testevg2.swisssign.net,http://www.swisssign.com/,http://swisssign.com/repository,http://swisssign.com/repository,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,KPMG,ETSI TS 102 042,2014.04.14,
SwissSign AG,SwissSign AG,,SwissSign Platinum CA - G2,56:E0:FA:C0:3B:8F:18:23:55:18:E5:D3:11:CA:E8:C2:43:31:AB:66,10/25/2006,10/25/2036,4096,SHA-1,"Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=343756,"NSS 3.11.9, Firefox 2",Websites trust bit not set.,http://www.swisssign.com/,http://swisssign.com/repository,http://swisssign.com/repository,https://bug343756.bugzilla.mozilla.org/attachment.cgi?id=8435567,,,KPMG,ETSI TS 102 042,2014.04.14,
T-Systems International GmbH,T-Systems Enterprise Services GmbH,T-Systems Trust Center,T-TeleSec GlobalRoot Class 3,55:A6:72:3E:CB:F2:EC:CD:C3:23:74:70:19:9D:2A:BE:11:E3:81:D1,10/1/2008,10/1/2033,2048,SHA-256,Websites,1.3.6.1.4.1.7879.13.24.1,https://bugzilla.mozilla.org/show_bug.cgi?id=669849,"NSS 3.14, Firefox 18",https://root-class3.test.telesec.de,http://www.t-systems.com/,http://www.telesec.de/pki/roots.html,http://www.telesec.de/pki/roots.html,https://www.telesec.de/certification/webtrust,https://www.telesec.de/certification/webtrust,https://www.telesec.de/certification/webtrust,Ernst & Young,WebTrust,2014.07.11,
T-Systems International GmbH,T-Systems Enterprise Services GmbH,T-Systems Trust Center,T-TeleSec GlobalRoot Class 2,59:0D:2D:7D:88:4F:40:2E:61:7E:A5:62:32:17:65:CF:17:D8:94:E9,10/1/2008,10/1/2033,2048,SHA-256,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=892390,"NSS 3.16, Firefox 29",https://root-class2.test.telesec.de,http://www.t-systems.com/,http://www.telesec.de/pki/roots.html,http://www.telesec.de/pki/roots.html,https://www.telesec.de/certification/webtrust,https://www.telesec.de/certification/webtrust,,Ernst & Young,WebTrust,2014.07.11,
Taiwan-CA Inc. (TWCA),TAIWAN-CA,Root CA,TWCA Root Certification Authority,CF:9E:87:6D:D3:EB:FC:42:26:97:A3:B5:A3:7A:A0:76:A9:06:23:48,8/28/2008,12/31/2030,2048,SHA-1,"Websites Email Code",1.3.6.1.4.1.40869.1.1.22.3,https://bugzilla.mozilla.org/show_bug.cgi?id=518503,"NSS 3.12.11, Firefox 6.0.2",https://evssldemo.twca.com.tw/index.html,http://www.twca.com.tw/Portal/english/coporate_profile/mission.html,http://www.twca.com.tw/Portal/english/coporate_profile/Repository.html,http://www.twca.com.tw/Portal/english/coporate_profile/Repository.html,https://cert.webtrust.org/SealFile?seal=1695&file=pdf,https://www.twca.com.tw/picture/file/COMODO_BaselineRequirements_2013.pdf,https://cert.webtrust.org/SealFile?seal=1694&file=pdf,DFK,WebTrust,2014.05.15,
Taiwan-CA Inc. (TWCA),TAIWAN-CA,Root CA,TWCA Global Root CA,9C:BB:48:53:F6:A4:F6:D3:52:A4:E8:32:52:55:60:13:F5:AD:AF:65,6/27/2012,12/31/2030,4096,SHA-256,"Websites Email Code",1.3.6.1.4.1.40869.1.1.22.3,https://bugzilla.mozilla.org/show_bug.cgi?id=810133,"NSS 3.15.4, Firefox 27",https://evssldemo3.twca.com.tw/index.html,http://www.twca.com.tw/Portal/english/coporate_profile/mission.html,http://www.twca.com.tw/Portal/english/coporate_profile/Repository.html,http://www.twca.com.tw/Portal/english/coporate_profile/Repository.html,https://cert.webtrust.org/SealFile?seal=1695&file=pdf,https://www.twca.com.tw/picture/file/COMODO_BaselineRequirements_2013.pdf,https://cert.webtrust.org/SealFile?seal=1694&file=pdf,DFK,WebTrust,2014.05.15,
TrustCenter (owned by Symantec),TC TrustCenter GmbH,TC TrustCenter Class 2 CA,TC TrustCenter Class 2 CA II,AE:50:83:ED:7C:F4:5C:BC:8F:61:C6:21:FE:68:5D:79:42:21:15:6E,1/12/2006,12/31/2025,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=392024,"NSS 3.12.4, Firefox 3.5",https://testserver.class2-ii.trustcenter.de,http://www.trustcenter.de/,http://www.trustcenter.de/en/about/repository.htm,http://www.trustcenter.de/en/about/repository.htm,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,,TUVIT,ETSI TS 102 042,2014.02.14,
TrustCenter (owned by Symantec),TC TrustCenter GmbH,TC TrustCenter Universal CA,TC TrustCenter Universal CA I,6B:2F:34:AD:89:58:BE:62:FD:B0:6B:5C:CE:BB:9D:D9:4F:4E:39:F3,3/22/2006,12/31/2025,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=392024,"NSS 3.12.4, Firefox 3.5",https://www.trustcenter.de,http://www.trustcenter.de/,http://www.trustcenter.de/en/about/repository.htm,http://www.trustcenter.de/en/about/repository.htm,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,,TUVIT,ETSI TS 102 042,2014.02.14,
TrustCenter (owned by Symantec),TC TrustCenter GmbH,TC TrustCenter Universal CA,TC TrustCenter Universal CA III,96:56:CD:7B:57:96:98:95:D0:E1:41:46:68:06:FB:B8:C6:11:06:87,9/9/2009,12/31/2029,2048,SHA-1,,1.2.276.0.44.1.1.1.4,https://bugzilla.mozilla.org/show_bug.cgi?id=593063,"NSS 3.12.9, Firefox 4.0",Not yet issuing SSL certs.,http://www.trustcenter.de/,http://www.trustcenter.de/en/about/repository.htm,http://www.trustcenter.de/en/about/repository.htm,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6722UE_s.pdf,TUVIT,ETSI TS 102 042,2014.02.14,
TrustCenter (owned by Symantec),TC TrustCenter GmbH,TC TrustCenter Class 3 CA,TC TrustCenter Class 3 CA II,80:25:EF:F4:6E:70:C8:D4:72:24:65:84:FE:40:3B:8A:8D:6A:DB:F5,1/12/2006,12/31/2025,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=392024,"NSS 3.12.4, Firefox 3.5",https://testserver.class3-ii.trustcenter.de,http://www.trustcenter.de/,http://www.trustcenter.de/en/about/repository.htm,http://www.trustcenter.de/en/about/repository.htm,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,https://www.tuvit.de/data/content_data/tuevit_en/6721UE_s.pdf,,TUVIT,ETSI TS 102 042,2014.02.14,
Nets DanID,TDC Internet,TDC Internet Root CA,TDC Internet Root CA,21:FC:BD:8E:7F:6C:AF:05:1B:D1:B3:43:EC:A8:E7:61:47:F2:0F:8A,4/5/2001,4/5/2021,2048,SHA-1,,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=204839,"NSS 3.9.5, Firefox 1",Root Removed in Firefox 32.,https://www.nets-danid.dk/,http://www.certifikat.dk/repository,http://www.certifikat.dk/repository,https://cert.webtrust.org/SealFile?seal=1516&file=pdf,Root Removed in Firefox 32.,,KPMG,WebTrust,2013.06.25,Root Removed in Firefox 32.
TeliaSonera,TeliaSonera,,TeliaSonera Root CA v1,43:13:BB:96:F1:D5:86:9B:C1:4E:6A:92:F6:CF:F6:34:69:87:82:37,10/18/2007,10/18/2032,4096,SHA-1,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=539924,"NSS 3.16, Firefox 29",https://juolukka.cover.sonera.net:10443,http://www.teliasonera.com/,https://repository.trust.teliasonera.com/,https://repository.trust.teliasonera.com/CPS/,https://cert.webtrust.org/SealFile?seal=1729&file=pdf,https://support.partnergate.sonera.com/download/CA/braudit2013.pdf,,Ernst & Young,WebTrust,2014.07.27,
VeriSign (owned by Symantec),Thawte Consulting cc,Certification Services Division,Thawte Premium Server CA,62:7F:8D:78:27:65:63:99:D2:7D:7F:90:44:C9:FE:B3:F3:3E:FA:9A,8/1/1996,12/31/2020,1024,MD5,"Websites Code",Not EV,legacy,Firefox 1,https://ssltest10.bbtest.net/,http://www.thawte.com,http://www.thawte.com/repository,http://www.thawte.com/cps/index.html,https://cert.webtrust.org/SealFile?seal=527&file=pdf,,,KPMG,WebTrust,2013.05.06,Migrating customers away from this 1024-bit root. https://bugzilla.mozilla.org/show_bug.cgi?id=936105#c2
VeriSign (owned by Symantec),Thawte Consulting cc,Certification Services Division,Thawte Server CA,23:E5:94:94:51:95:F2:41:48:03:B4:D5:64:D2:A3:A3:F5:D8:8B:8C,8/1/1996,12/31/2020,1024,MD5,"Websites Code",Not EV,legacy,Firefox 1,https://ssltest29.bbtest.net/,http://www.thawte.com,http://www.thawte.com/repository,http://www.thawte.com/cps/index.html,https://cert.webtrust.org/SealFile?seal=527&file=pdf,,,KPMG,WebTrust,2013.05.06,Migrating customers away from this 1024-bit root. https://bugzilla.mozilla.org/show_bug.cgi?id=936105#c2
VeriSign (owned by Symantec),"thawte, Inc.","(c) 2008 thawte, Inc. - For authorized use only",thawte Primary Root CA - G3,F1:8B:53:8D:1B:E9:03:B6:A6:F0:56:43:5B:17:15:89:CA:F3:6B:F2,4/2/2008,12/1/2037,2048,SHA-256,"Websites Code",2.16.840.1.113733.1.7.48.1,https://bugzilla.mozilla.org/show_bug.cgi?id=484903,"NSS 3.12.5, Firefox 3.6",https://ssltest8.bbtest.net,http://www.thawte.com,http://www.thawte.com/repository,http://www.thawte.com/cps/index.html,https://cert.webtrust.org/SealFile?seal=527&file=pdf,,https://cert.webtrust.org/SealFile?seal=527&file=pdf,KPMG,WebTrust,2013.05.06,
VeriSign (owned by Symantec),"thawte, Inc.","(c) 2006 thawte, Inc. - For authorized use only",thawte Primary Root CA,91:C6:D6:EE:3E:8A:C8:63:84:E5:48:C2:99:29:5C:75:6C:81:7B:81,11/17/2006,7/16/2036,2048,SHA-1,"Websites Code",2.16.840.1.113733.1.7.48.1,https://bugzilla.mozilla.org/show_bug.cgi?id=407163,"NSS 3.11.10, Firefox 3.0.2",https://ssltest6.bbtest.net/,http://www.thawte.com,http://www.thawte.com/repository,http://www.thawte.com/cps/index.html,https://cert.webtrust.org/SealFile?seal=527&file=pdf,,https://cert.webtrust.org/SealFile?seal=527&file=pdf,KPMG,WebTrust,2013.05.06,
VeriSign (owned by Symantec),"thawte, Inc.","(c) 2007 thawte, Inc. - For authorized use only",thawte Primary Root CA - G2,AA:DB:BC:22:23:8F:C4:01:A1:27:BB:38:DD:F4:1D:DB:08:9E:F0:12,11/5/2007,1/18/2038,ECC,ECC,"Websites Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=409237,"NSS 3.12.6, Firefox 3.6.2",https://ssltest40.ssl.symclab.com,http://www.thawte.com,http://www.thawte.com/repository,http://www.thawte.com/cps/index.html,https://cert.webtrust.org/SealFile?seal=527&file=pdf,,,KPMG,WebTrust,2013.05.06,
GoDaddy,"The Go Daddy Group, Inc.",Go Daddy Class 2 Certification Authority,Go Daddy Class 2 CA,27:96:BA:E6:3F:18:01:E2:77:26:1B:A0:D7:77:70:02:8F:20:EE:E4,6/29/2004,6/29/2034,2048,SHA-1,"Websites Email Code",2.16.840.1.114413.1.7.23.3,https://bugzilla.mozilla.org/show_bug.cgi?id=284677,"NSS 3.10, Firefox 1",https://valid.gdi.catest.godaddy.com/,http://www.godaddy.com/,https://certs.godaddy.com/anonymous/repository.pki,https://certs.godaddy.com/anonymous/repository.pki,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,https://cert.webtrust.org/SealFile?seal=1568&file=pdf,KPMG,WebTrust,2014.08.14,
Comodo,The USERTRUST Network,http://www.usertrust.com,UTN-USERFirst-Hardware,04:83:ED:33:99:AC:36:08:05:87:22:ED:BC:5E:46:00:E3:BE:F9:D7,7/9/1999,7/9/2019,2048,SHA-1,Websites,1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=242610,"NSS 3.9.6, Firefox 1",https://utnuserfirsthardware-ev.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
Comodo,The USERTRUST Network,http://www.usertrust.com,UTN - DATACorp SGC,58:11:9F:0E:12:82:87:EA:50:FD:D9:87:45:6F:4F:78:DC:FA:D6:D4,6/24/1999,6/24/2019,2048,SHA-1,Websites,1.3.6.1.4.1.6449.1.2.1.5.1,https://bugzilla.mozilla.org/show_bug.cgi?id=242610,"NSS 3.9.6, Firefox 1",https://utndatacorpsgc-ev.comodoca.com/,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,https://cert.webtrust.org/SealFile?seal=1746&file=pdf,Ernst & Young,WebTrust,2014.09.10,
VeriSign (owned by Symantec),The USERTRUST Network,http://www.usertrust.com,UTN-USERFirst-Network Applications,5D:98:9C:DB:15:96:11:36:51:65:64:1B:56:0F:DB:EA:2A:C2:3E:F1,7/9/1999,7/9/2019,2048,SHA-1,,Not EV,legacy,Firefox 1,Not applicable,http://www.symantec.com,,,,,,,,disabled,
Comodo,The USERTRUST Network,http://www.usertrust.com,UTN-USERFirst-Client Authentication and Email,B1:72:B1:A5:6D:95:F9:1F:E5:02:87:E1:4D:37:EA:6A:44:63:76:8A,7/9/1999,7/9/2019,2048,SHA-1,Email,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=242610,"NSS 3.9.6, Firefox 1",Not applicable,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Comodo,The USERTRUST Network,http://www.usertrust.com,UTN-USERFirst-Object,E1:2D:FB:4B:41:D7:D9:C3:2B:30:51:4B:AC:1D:81:D8:38:5E:2D:46,7/9/1999,7/9/2019,2048,SHA-1,Code,Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=242610,"NSS 3.9.6, Firefox 1",Not applicable,http://www.comodo.com/,http://www.comodo.com/about/comodo-agreements.php,http://www.comodo.com/about/comodo-agreements.php,https://cert.webtrust.org/SealFile?seal=1743&file=pdf,https://cert.webtrust.org/SealFile?seal=1742&file=pdf,,Ernst & Young,WebTrust,2014.09.10,
Trustis,Trustis Limited,Trustis FPS Root CA,Trustis FPS Root CA,3B:C0:38:0B:33:C3:F6:A6:0C:86:15:22:93:D9:DF:F5:4B:81:C0:04,12/23/2003,1/21/2024,2048,SHA-1,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=577665,"NSS 3.13.6, Firefox 16",https://www.trustis.com,http://www.trustis.com/,http://www.trustis.com/pki/fpsia/,http://www.trustis.com/pki/fpsia/,https://cert.webtrust.org/SealFile?seal=1642&file=pdf,,,KPMG,WebTrust,2014.01.06,
"Government of Turkey, Kamu Sertifikasyon Merkezi (Kamu SM)",Türkiye Bilimsel ve Teknolojik Araştırma Kurumu - TÜBİTAK,Kamu Sertifikasyon Merkezi,TÜBİTAK UEKAE Kök Sertifika Hizmet Sağlayıcısı - Sürüm 3,1B:4B:39:61:26:27:6B:64:91:A2:68:6D:D7:02:43:21:2D:1F:1D:96,8/24/2007,8/21/2017,2048,SHA-1,"Websites Email",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=381974,"NSS 3.12.5, Firefox 3.6",https://nesbireysel.kamusm.gov.tr/nb.go,http://www.kamusm.gov.tr/,http://www.kamusm.gov.tr/BilgiDeposu/KSM_NES_SI/KSM_NES_SI.pdf,http://www.kamusm.gov.tr/BilgiDeposu/KSM_NES_SUE/KSM_NES_SUE.pdf,http://www.btk.gov.tr/bilgi_teknolojileri/elektronik_imza/eshs.php,,,BTK,ETSI TS 102 042,2014.08.26,http://www.kamusm.gov.tr/dosyalar/mevzuat/kanunlar/KamuSM_Memorandum.jpg
